"Academic.Reputation.Score","Citations.per.Faculty.Score","Employer.Reputation.Score","Employment.Outcomes.Score","Faculty.Student.Score","International.Faculty.Score","International.Research.Network.Score","International.Students.Score","Sustainability.Score"
"189",40.5,29,38.2,37.2,75.1,99.3,40.2,59.5,70.1
"190",40.9,64.9,37.6,16.8,7.4,96,68.8,26.4,90.6
"191",34.4,63.3,38.9,35.7,3.3,97.1,69.1,85,60.4
"192",46.1,63.3,19.8,25.3,29.1,68.8,82.7,36.3,68.2
"193",8.3,80.7,57.9,30,98.2,34.6,5.6,96.8,19.2
"194",40.9,87.4,44,35,12.8,40.7,48.4,5,44.4
"195",59,46.4,30.2,41.9,30.6,5.5,86.1,9.1,88.5
"196",57.3,27.8,66,12.9,75.8,17.5,38.1,14.4,30.7
"197",51.2,64.3,75.9,32.8,22,2.4,6.6,1.4,37.5
"198",65.4,5.9,95.7,96.2,17.6,26.4,11.1,2,40.2
"199",25.6,69.7,16.4,23.6,97.7,37.3,57,31.1,85.7
"200",60.4,25.1,57.7,19.6,34.5,7.8,80.4,12,88.8
"201",60.2,4.3,97.3,65.6,23.7,27.6,17.5,28.6,56.5
"202",33.6,43.5,30.3,14.3,27.5,100,84.1,98.9,91
"203",36.9,32.2,21.3,71.7,64.2,99.7,88.6,21.3,75.8
"204",26.5,79.1,29.7,24.3,3.8,85.9,85.8,75.9,54.6
"205",51,60,28.7,26.8,16.9,41.6,87.2,22.3,52.8
"206",46.3,51,27.1,44.7,11,100,38.1,29.2,98.1
"207",39.6,68.1,15.7,20.2,23.6,68.5,70.1,40.2,89.1
"208",29.6,42.1,32.5,20.5,29.6,95.8,73.3,96.7,98.1
"209",40.5,45.1,56.7,71.5,5.3,70.1,22.5,30.6,85.4
"210",20.6,65.3,38.3,12.6,39.4,99.3,67.6,91.1,33.2
"211",66.6,7,50.1,87.2,31.5,15,49.4,2.9,85.9
"212",30.5,34.6,66.8,18.8,23.6,87.3,77.1,63.5,63.4
"213",45.8,19.7,29.9,21.1,92.9,67.6,89.9,26.7,42.3
"214",51.4,6,93.5,79.8,58,9.6,9.2,9.2,39.3
"215",33.2,99.9,23.6,72.9,3.8,40.4,39.5,4.6,38.4
"216",34.4,91.8,13.1,18,28.8,56.7,21.3,32.6,65.4
"217",33.3,52.1,67.9,44.6,53.9,19,4.4,18.5,54.3
"218",22.9,70.9,8.9,30.6,14.6,96.1,62.9,93,97.2
"219",57.3,51.8,22,13.8,7.8,12.9,91.3,9.4,95
"220",70.3,24.9,50.1,9.6,13,11.7,53.7,2.9,74.8
"221",29.4,65.1,15.1,27.9,36.6,99.9,48,56.6,61.6
"222",28.9,74.9,13.9,15.7,27.6,78.3,78.8,20.2,82.7
"223",37.9,38.7,15.2,33.1,96.1,7,81.1,14.9,90.5
"224",22.1,51.6,18.4,26.6,97.9,71.4,31.3,91.7,33.2
"225",41.5,100,20,13.8,46.4,4.8,4.4,1.7,10.7
"226",27.6,24.2,41.6,88.5,57.3,67.8,35.6,46.8,93.2
"227",69.5,3.5,96.8,29.9,6.1,6.4,13.3,1.5,49.7
"228",49.4,21.2,75.6,30.2,32.9,23.7,10.9,15.7,78.2
"229",25.2,95.8,20.9,15.5,2.8,26.8,75.1,39.9,69.9
"230",51.4,1.4,74.9,11.5,98.9,28.8,12,34,5.1
"231",19.7,48.3,20.4,9,87.2,100,29.6,75.3,66.5
"232",47.4,17.7,29,21.9,70.1,49.5,91.8,22.5,55.5
"233",29.6,67.4,25.8,26.2,4.8,96.7,51.4,59.9,54.3
"234",53.1,38.3,67.7,15.9,28.3,16.8,6.7,20.1,30.5
"235",16.4,79.4,21.1,21.3,18.6,100,40.2,97.6,43.5
"236",31.6,93.7,5.9,11.6,9.2,19.3,99.6,41.5,46
"237",21.1,78.6,24.2,72.1,57.9,5.3,6.6,33.9,66.8
"238",50.5,2,73,58.7,50.4,75.8,2,4.8,42.3
"239",30.4,22.7,16,44.9,43.2,98.2,65.2,97.9,94.7
"240",52.4,22.1,19.8,25.9,58,41.5,90.7,37.5,35.2
"241",44.8,32.3,25.5,47,9.1,99.5,38.1,34.6,93.6
"242",22.6,77.5,20.2,14.3,6.9,94.4,45.8,98.4,28.9
"243",26.5,65.8,16.2,15.5,7.5,100,72.7,31.7,93.3
"244",20.4,56.2,23.4,16.8,23.2,96.8,71.1,88.3,57.7
"245",39.5,57.6,11.9,27.7,10.7,71,52,23.8,93.5
"246",21,79,37.5,33.5,6.2,62.6,32.5,74.6,19.9
"247",37.5,14.8,37.7,11.2,91.2,46.2,87.4,35.2,30.7
"248",45.5,9.4,43.5,27.6,34.8,24.8,90.9,51.2,83.9
"249",23.7,49.2,11.8,29.6,45.3,90.9,90,32.3,80.4
"250",18.4,75,13.2,44.5,11.3,99.3,17.5,73.3,79.8
"251",34.3,22.5,29.1,77.7,81.2,54.7,37.1,16,50.9
"252",38.5,57.9,44.9,21.3,2.4,4.1,49.9,46.7,57.4
"253",39.8,58.1,22.9,17.6,11.1,7.3,93.8,18.7,77.3
"254",10.6,96.9,14.2,41.6,12.2,100,11.4,99.3,4.3
"255",18.4,63.9,17.1,27,83,38.2,21,68.3,34.6
"256",28.6,98.8,14.9,20.3,41.6,8.6,23.2,8.4,15.4
"257",23.4,62.7,22.3,27,12.8,99.5,46.5,100,13.7
"258",33.8,32.8,33.1,62.6,10.9,99.8,21.9,35.3,97.1
"259",23.1,22,16.8,31.1,75.9,93.6,88.4,59.2,67.4
"260",35.6,34.1,32,68.5,56.9,7.9,57.7,10.8,63.1
"261",25.2,37.2,19.8,35.7,100,36.4,47.1,34.6,51.2
"262",48.7,6.3,53.4,36.7,41.9,9.8,62.1,8.6,80
"263",51.7,1.7,66.5,42.6,54.4,38.5,2.1,1.6,47.2
"264",36.9,49.4,13.5,30.8,33.2,27.1,68.6,5.5,96.4
"265",25.7,27.7,43,96.7,10.9,79.9,92.4,7.5,62.5
"266",15,98.6,11.9,8.4,84.1,41.5,1.2,10.9,1.8
"267",42.2,35.1,21,65.8,12.7,9.3,97.4,30.7,66.5
"268",19,48.8,26.6,34.7,34.8,77.8,57.9,30.3,87.4
"269",37.6,50.3,16.6,11.4,14.6,56.9,65.3,49.6,58.6
"270",36.9,31.2,38.5,37,19.3,40.5,80.9,30.9,57.4
"271",32.2,85.8,43.5,21.5,11.8,3.1,10.7,1.3,18
"272",38.4,86.4,6.8,12.2,25.6,7.1,22.8,23.3,30.5
"273",21.2,45.3,14.2,17.8,36.1,80.8,75.7,94.1,50.9
"274",27.8,67.3,25,20.8,8.9,63,49.6,15.3,64.5
"275",22.7,99.3,29.2,16.8,10,5.5,45.4,3.2,27.1
"276",51.2,47.8,12.7,24.2,5.6,7.5,59,6.8,92.1
"277",26.3,33.7,34.6,24,17.7,93.3,61.6,67,59.2
"278",34.7,75.5,49.3,20.6,14.2,2.1,3.3,1.1,21.8
"279",20.1,19.2,44.7,37,76.8,84.2,55,22.8,50.6
"280",29,15.1,61.2,28.4,56.5,25.2,28.9,74.8,45.6
"281",41,2.5,65.6,35.7,65.6,84.4,1.2,2.3,21.2
"282",32.7,31.2,5.4,23.6,67.1,92.3,69.3,14.3,57.7
"283",25,59.9,39.4,50.1,3.1,20,92,7.8,44.1
"284",24,8.5,82.8,10.5,63.3,54.1,3.8,98.8,2.3
"285",40.1,54.7,55.9,26,26.6,2.6,2.7,1.4,6.5
"286",13.4,89.5,12,10.8,11,97.9,23.9,65.5,25.8
"287",38.5,19.5,18.4,31,72.5,11,88,9.3,71.5
"288",18.7,98.2,8.6,24,34.7,24.3,18.6,27.4,25.6
"289",26.3,13.5,28.2,30.7,61.2,92.3,45.7,39.3,90.6
"290",28.3,13.8,37.8,60.9,52.6,100,56.5,38.7,16.3
"291",21.4,80.9,42.2,20.8,17.4,4.4,36.8,4.1,34.6
"292",34,27.5,19.4,51,23.6,76.1,88.9,10.3,65.7
"293",28.4,21.6,36.3,23.5,29.4,94.8,25.1,47.1,96.1
"294",44.5,48.8,10.1,14.2,7.8,18.4,92.6,34.9,40.8
"295",19.4,51.9,12.6,15.1,56,97.8,2.6,100,17.2
"296",19.2,66,8.5,12.7,16.8,68,64.8,38.2,84.3
"297",30.3,18.6,34.4,87.8,59,17,14.4,39.8,66.8
"298",19.2,41.8,18,21.6,16,99,37.2,74.7,94.4
"299",36.9,18.1,24.7,20.7,48.7,18.9,59.7,32.8,95.9
"300",22.5,3.2,58.4,15.8,72.6,83.7,1.3,98,24.6
"301",9.1,95,2.1,7.4,94.6,37.2,6.8,1.5,6.9
"302",44.4,21.3,29.1,11.5,21.4,41.3,82.1,25.6,46.6
"303",26.2,34.8,40.4,20.7,18.7,71.7,70,17.9,52.8
"304",37.3,6.2,47.2,27.9,65.1,4.9,59.4,13.4,57.7
"305",26.5,39.1,32.2,45.2,59.7,23.3,32,17.7,34.6
"306",16.2,20.7,21.4,43.6,36.8,96.3,96.9,50.6,73.6
"308",21,27.4,45,10.6,23.6,73.1,59,54.1,61
"309",18.2,65.7,31.6,9.9,34.6,85.2,24.2,18.5,2.9
"310",17.2,58.1,7.8,14.8,17.7,75.1,48.8,95.8,47.2
"312",30.9,55.6,22.8,15.3,13.1,77.9,38.4,26.6,13.2
"313",23.7,64.8,27.2,19.4,6.1,37.4,36.5,49.8,33.8
"314",35.1,21.6,24.4,52.2,30.5,40.5,68.5,12.7,62.5
"315",15.8,56.9,17.3,16.6,26.4,52.5,75.4,9.4,88.4
"316",15.8,97,40.3,5.8,2.8,3.4,23,1.4,23
"317",40.8,5.1,24,52.8,61.6,5.2,69.5,41.7,36.1
"318",28.3,32.4,21.1,27.8,52.3,27.2,62.9,4.3,77.7
"319",25.5,42.5,13.5,17.6,5.7,96.8,34.5,86.3,54.3
"320",31.3,1.4,44.4,12.2,100,53.6,1,58.9,10.5
"321",17.7,3.2,27.6,76.3,88,54.9,1.4,97.1,54.6
"322",32.9,4.8,49.1,12.9,53.3,56.5,18.5,41.2,62.5
"323",17.3,65,7.6,12.2,3.5,95.2,19,48.6,89.8
"324",36.4,44.1,22.3,16.7,48.8,2.4,33.3,4.2,38.4
"325",40.9,26.2,23.5,31.5,31.6,8.5,50.1,17,62.8
"326",23.6,20.7,52.3,58.4,3.5,25,97.6,6.4,78.4
"327",22.5,32.8,14,15.4,22.4,99.8,58.6,45.1,81.7
"328",20,40.7,18,17.7,27.1,83.2,49.7,22.7,88.7
"329",21.4,42.2,18.1,28.3,6.7,95,22.1,99.3,41.7
"330",17.4,100,8.9,8.1,38.4,21.6,1.3,10,2.1
"331",65.2,3.4,24.9,32.2,4.2,38.2,30,46.4,16.3
"332",5.8,56.4,3.9,7.9,82.9,100,4.2,100,1.2
"333",28,14,41.6,12.1,84.8,14.2,16.7,54,33.5
"334",18.4,79.6,4.9,10.7,7.2,63.6,19.3,8.9,89.1
"335",10.1,99.1,43.8,25.7,6.1,7.3,9.7,1.3,1.9
"336",35.2,61.8,17,7.1,4.3,2.4,81.6,1.1,34.6
"337",20,42.4,22.2,14.7,31.5,76.4,79.2,18.2,35.8
"338",29,22.2,63.7,24.6,9,11.3,32.2,17.4,84.8
"339",46.3,1.8,77.1,35.2,25.9,3.9,2.5,1.4,31.3
"340",17,43.9,6.7,20.2,13.3,96.6,43,72.8,85.2
"341",22.7,76.4,18.1,14.1,41.1,3.1,17.1,4.2,23.7
"342",26.9,29.3,24.5,49.5,28.3,31.6,61,27.6,62.8
"343",22.4,2,45,12.2,92.2,8.2,60.1,92.7,4.4
"344",11.3,44.2,13.3,18.5,7.9,99.7,56.9,99.6,62.8
